company_name,status_label,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_1,alive,2013,1116.9,1581.4,113.4,256,632.9,72.9,297.9,961.308,2035,2199.5,564.3,142.6,453.6,402.1,616.7,2035,1198.8,1779
C_1,alive,2014,954.1,1342.7,92.3,83.7,566.7,10.2,231.1,1046.3954,1594.3,1515,85,-8.6,251.6,412,603.9,1594.3,669.9,1510.6
C_1,alive,2015,873.1,1354.9,70.8,136.9,563.7,47.7,242.7,842.5112,1662.6,1442.1,136.1,66.1,307.7,329,637.2,1662.6,576.3,1525.7
C_1,alive,2016,888.5,1422.7,71,148.2,601.1,56.5,251.4,1200.3288,1767.6,1504.1,155.3,77.2,344.9,335.1,688,1767.6,589.9,1619.4
C_1,alive,2017,942.7,1413.2,40.5,126.5,547.9,15.6,203,1551.458,1748.3,1524.7,177.2,86,335.1,333.3,701.2,1748.3,588.4,1621.8
C_10,alive,2013,1043.609,2192.597,415.708,1262.031,259.71,406.074,393.497,5830.8314,3454.628,13508.686,2796.465,846.323,1262.031,1618.644,1707.22,3454.628,9168.226,2192.597
C_10,alive,2014,973.435,2263.032,417.358,1228.6,255.986,397.595,395.179,7553.105,3491.632,14313.532,3031.215,811.242,1228.6,1559.143,1857.924,3491.632,9794.43,2263.032
C_10,alive,2015,890.516,2146.419,494.422,1349.024,279.931,437.257,367.806,7155.9904,3495.443,15028.258,3462.391,854.602,1349.024,1442.317,2048.055,3495.443,10308.801,2146.419
C_10,alive,2016,822.219,2156.869,485.829,1341.813,282.587,442.034,355.403,8687.6261,3498.682,16004.253,4021.785,855.984,1341.813,1292.946,2211.725,3498.682,11068.341,2156.869
C_10,alive,2017,1016.288,2096.751,534.118,1468.545,289.27,488.456,415.068,9519.0354,3565.296,17019.082,4789.713,934.427,1468.545,1197.852,2397.509,3565.296,11883.352,2096.751
C_10,alive,2018,924.991,2335.206,582.354,1356.041,294.094,511.047,400.988,9551.0904,3691.247,17664.202,4638.232,773.687,1356.041,1648.964,2593.475,3691.247,12315.497,2335.206
C_100,alive,2013,87.342,62.127,33.174,65.532,5.295,18.496,25.753,459.0008,149.023,375.254,5,32.358,86.896,37.227,305.803,149.023,59.796,83.491
C_101,alive,2013,242.792,581.393,24.8,65.585,47.982,27.986,155.887,991.2323,771.445,565.357,20.659,40.785,190.052,136.834,212.407,771.445,212.727,705.86
C_101,alive,2014,298.975,697.892,27.5,91.085,61.408,50.516,176.738,1331.9425,933.936,612.057,20.587,63.585,236.044,149.028,234.218,933.936,229.581,842.851
C_101,alive,2015,336.793,707.819,29.8,127.193,63.386,65.342,172.832,1145.3521,981.189,657.44,20.4,97.393,273.37,177.381,251.106,981.189,251.245,853.996
C_101,alive,2016,297.461,790.91,31.6,153.825,73.409,85.79,187.483,1639.9796,1114.533,784.658,65.4,122.225,323.623,186.058,310.906,1114.533,314.081,960.708
C_101,alive,2017,336.278,954.455,37.1,159.508,85.028,79.488,213.892,1214.7361,1326.173,1022.32,215.86,122.408,371.718,208.152,349.206,1326.173,510.965,1166.665
